,Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
0,100000001,Simon,Walsh,Male,21,England,White Collar,05.Jan.15,113810.15
1,400000002,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,06.Jan.15,36919.73
2,100000003,Liam,Brown,Male,46,England,White Collar,07.Jan.15,101536.83
3,300000004,Trevor,Parr,Male,32,Wales,White Collar,08.Jan.15,1421.52
4,100000005,Deirdre,Pullman,Female,38,England,Blue Collar,09.Jan.15,35639.79
5,300000006,Ava,Coleman,Female,30,Wales,Blue Collar,09.Jan.15,122443.77
6,100000007,Dorothy,Thomson,Female,34,England,Blue Collar,11.Jan.15,42879.84
7,200000008,Lisa,Knox,Female,48,Scotland,Other,11.Jan.15,36680.17
8,300000009,Ruth,Campbell,Female,33,Wales,White Collar,11.Jan.15,74284.35
9,100000010,Dominic,Parr,Male,42,England,White Collar,12.Jan.15,10912.45
10,100000011,Dominic,Lewis,Male,40,England,White Collar,12.Jan.15,39667.83
11,100000012,Benjamin,Grant,Male,39,England,White Collar,12.Jan.15,32281.62
12,100000013,Ryan,MacDonald,Male,24,England,White Collar,12.Jan.15,40781.63
13,200000014,Thomas,Lawrence,Male,46,Scotland,Other,12.Jan.15,48791.46
14,300000015,Madeleine,Marshall,Female,36,Wales,Other,12.Jan.15,2846.03
15,100000016,Nicholas,Newman,Male,42,England,White Collar,14.Jan.15,2116.85
16,200000017,Grace,Hill,Female,31,Scotland,Other,14.Jan.15,10356.31
17,200000018,Samantha,Coleman,Female,42,Scotland,Other,14.Jan.15,3801.69
18,100000019,William,Ince,Male,40,England,Blue Collar,15.Jan.15,65534.69
19,100000020,Audrey,Jones,Female,46,England,Blue Collar,15.Jan.15,11462.64
20,300000021,Boris,Johnston,Male,37,Wales,Other,16.Jan.15,31778.9
21,200000022,Jason,Butler,Male,58,Scotland,Blue Collar,18.Jan.15,21252.97
22,300000023,Deirdre,McDonald,Female,41,Wales,White Collar,18.Jan.15,66785.78
23,200000024,Carl,Quinn,Male,52,Scotland,Blue Collar,19.Jan.15,6580.81
24,100000025,Jennifer,Hughes,Female,38,England,White Collar,20.Jan.15,20505.32
25,200000026,Richard,Fraser,Male,55,Scotland,Blue Collar,21.Jan.15,43249.26
26,400000027,Rachel,McGrath,Female,37,Northern Ireland,White Collar,23.Jan.15,3967.2
27,100000028,Alison,Fisher,Female,33,England,White Collar,25.Jan.15,3428.56
28,200000029,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,25.Jan.15,20516.1
29,100000030,Luke,Wilkins,Male,42,England,White Collar,27.Jan.15,10813.83
30,100000031,Megan,Bell,Female,25,England,White Collar,28.Jan.15,38889.76
31,300000032,Warren,Edmunds,Male,30,Wales,White Collar,28.Jan.15,14094.01
32,200000033,Grace,Chapman,Female,58,Scotland,Other,29.Jan.15,25865.2
33,100000034,Jake,Wilson,Male,26,England,Other,30.Jan.15,5833.62
34,100000035,Karen,Dyer,Female,34,England,Blue Collar,31.Jan.15,77809.59
35,100000036,Yvonne,Thomson,Female,36,England,White Collar,31.Jan.15,31680.67
36,100000037,Sophie,Gill,Female,33,England,White Collar,31.Jan.15,20504.37
37,100000038,Robert,Cornish,Male,31,England,Other,31.Jan.15,5688.36
38,200000039,Luke,Martin,Male,35,Scotland,Blue Collar,31.Jan.15,12848.59
39,200000040,Gavin,Pullman,Male,59,Scotland,Other,31.Jan.15,114456.23
